id,CreationDate,AnswerCount,Score,CommentCount,ViewCount
68194701,30/06/2021 12:23,0,0,1,74
68193575,30/06/2021 11:04,2,2,0,177
68192599,30/06/2021 10:00,1,0,0,47
68176794,29/06/2021 10:17,0,0,0,8
68157017,28/06/2021 2:54,0,1,0,30
68155537,27/06/2021 21:46,1,1,1,276
68134372,25/06/2021 16:34,1,0,5,162
68132308,25/06/2021 14:02,0,0,0,27
68128454,25/06/2021 9:12,1,0,1,223
68126979,25/06/2021 7:17,2,0,2,1076
68126525,25/06/2021 6:39,0,1,0,54
68119450,24/06/2021 16:24,1,0,0,131
68119447,24/06/2021 16:24,0,0,0,56
68110078,24/06/2021 5:27,0,1,1,511
68098549,23/06/2021 11:00,2,0,0,126
68097068,23/06/2021 9:23,2,1,0,815
68094995,23/06/2021 7:00,2,1,0,30
68090736,22/06/2021 21:09,2,0,0,228
68075693,21/06/2021 23:04,1,0,1,44
68055851,20/06/2021 12:30,0,0,3,146
68055810,20/06/2021 12:24,1,0,0,21
68046948,19/06/2021 12:50,1,1,0,84
68042683,19/06/2021 0:37,0,0,0,40
68042035,18/06/2021 22:26,0,0,0,68
68033879,18/06/2021 10:52,1,0,0,217
68030919,18/06/2021 7:17,1,0,2,26
68028710,18/06/2021 2:50,0,0,0,41
68028264,18/06/2021 1:30,2,0,5,147
68026872,17/06/2021 21:45,0,0,1,48
68011904,17/06/2021 1:52,1,1,0,136
68011766,17/06/2021 1:27,1,1,2,30
68010914,16/06/2021 22:52,1,3,0,994
68009697,16/06/2021 20:34,0,0,0,52
68007865,16/06/2021 17:59,0,0,0,31
67990952,15/06/2021 17:28,1,1,0,475
67981358,15/06/2021 6:52,1,1,0,358
67973664,14/06/2021 16:05,1,0,0,88
67972546,14/06/2021 14:53,1,0,1,114
67963221,13/06/2021 22:57,0,0,0,63
67960224,13/06/2021 16:02,1,0,0,114
67952528,12/06/2021 19:53,0,0,0,97
67930786,11/06/2021 3:10,1,0,0,103
67909111,09/06/2021 17:33,1,0,3,503
67907513,09/06/2021 15:44,1,1,0,729
67906786,09/06/2021 15:00,0,0,1,20
67905085,09/06/2021 13:25,0,0,9,92
67899771,09/06/2021 7:46,1,1,0,26
67898778,09/06/2021 6:35,1,0,0,538
67898094,09/06/2021 5:29,1,1,2,334
67889002,08/06/2021 14:25,1,0,0,169
67876978,07/06/2021 18:31,2,0,0,714
67864899,07/06/2021 1:06,1,0,0,42
67855477,06/06/2021 3:06,0,0,0,36
67853829,05/06/2021 20:48,0,0,0,68
67844333,04/06/2021 21:46,1,0,0,27
67839603,04/06/2021 15:06,1,0,0,87
67836349,04/06/2021 11:21,1,0,3,34
67826301,03/06/2021 17:42,0,1,0,37
67822844,03/06/2021 13:57,0,1,0,135
67821494,03/06/2021 12:27,0,0,9,374
67813268,02/06/2021 22:27,1,0,0,41
67805115,02/06/2021 12:28,1,1,2,79
67802894,02/06/2021 9:58,1,1,1,344
67792766,01/06/2021 16:37,0,0,0,47
67748414,29/05/2021 6:26,1,-1,0,30
67731223,27/05/2021 23:48,1,0,0,163
67721405,27/05/2021 11:40,1,1,2,56
67712549,26/05/2021 20:51,1,0,1,140
67702298,26/05/2021 9:36,1,1,8,209
67700744,26/05/2021 7:53,1,2,0,144
67683282,25/05/2021 7:11,1,0,0,89
67679771,24/05/2021 22:54,1,0,3,36
67677448,24/05/2021 18:50,0,0,0,38
67674185,24/05/2021 14:49,1,1,3,101
67673364,24/05/2021 13:59,1,0,2,104
67665438,24/05/2021 0:21,1,0,0,83
67664612,23/05/2021 21:38,0,5,5,1161
67661910,23/05/2021 16:17,1,0,4,45
67652869,22/05/2021 18:22,0,0,0,32
67648557,22/05/2021 10:40,0,0,2,336
67646227,22/05/2021 4:52,1,2,0,222
67644037,21/05/2021 21:30,0,0,0,74
67642234,21/05/2021 18:30,0,0,0,159
67632700,21/05/2021 7:45,0,0,0,72
67612726,20/05/2021 1:14,1,0,0,194
67603676,19/05/2021 12:53,1,0,0,63
67599347,19/05/2021 8:14,0,0,0,22
67598433,19/05/2021 7:06,1,0,0,222
67588503,18/05/2021 14:39,1,0,0,107
67578608,18/05/2021 0:51,0,0,0,18
67577703,17/05/2021 22:19,0,0,0,94
67568294,17/05/2021 10:53,3,0,0,281
67553100,16/05/2021 4:08,0,0,0,32
67551840,15/05/2021 22:47,1,0,0,909
67541673,14/05/2021 22:38,0,0,0,37
67541388,14/05/2021 21:59,0,1,1,51
67537444,14/05/2021 16:08,1,1,0,591
67529516,14/05/2021 5:37,0,0,0,27
67523509,13/05/2021 17:21,1,0,1,437
67521100,13/05/2021 14:34,2,4,0,520
67516607,13/05/2021 9:04,1,12,2,697
67499801,12/05/2021 8:20,0,0,0,164
67476463,10/05/2021 19:18,0,0,0,228
67464984,10/05/2021 5:02,1,0,0,65
67458678,09/05/2021 14:12,1,0,0,42
67456845,09/05/2021 10:49,1,0,1,102
67453209,09/05/2021 0:02,0,0,2,76
67452472,08/05/2021 21:51,0,0,0,131
67449424,08/05/2021 15:50,0,0,6,397
67425622,06/05/2021 20:36,0,0,0,28
67417611,06/05/2021 11:55,0,1,0,122
67411368,06/05/2021 3:19,1,0,0,92
67402257,05/05/2021 13:27,0,0,0,41
67398887,05/05/2021 9:46,3,0,0,40
67394571,05/05/2021 2:52,1,0,0,280
67393076,04/05/2021 22:41,1,4,0,378
67387759,04/05/2021 15:32,1,0,1,250
67368318,03/05/2021 11:39,0,0,0,30
67358575,02/05/2021 16:15,1,0,0,412
67358444,02/05/2021 16:01,0,0,0,78
67353471,02/05/2021 6:09,1,0,0,135
67348392,01/05/2021 16:18,1,0,0,219
67320194,29/04/2021 15:13,0,0,0,21
67313585,29/04/2021 8:19,0,1,1,98
67313171,29/04/2021 7:51,0,3,0,144
67279630,27/04/2021 8:35,1,2,0,186
67277627,27/04/2021 5:52,1,0,1,138
67270962,26/04/2021 17:12,1,3,2,1032
67268136,26/04/2021 14:03,0,0,4,135
67259010,25/04/2021 23:00,1,0,3,172
67241144,24/04/2021 9:19,1,0,0,493
67229849,23/04/2021 12:20,0,0,0,102
67228155,23/04/2021 10:18,0,1,0,550
67220095,22/04/2021 20:08,0,1,2,97
67219529,22/04/2021 19:20,1,0,1,376
67218567,22/04/2021 18:01,1,0,1,50
67178005,20/04/2021 11:26,0,0,0,171
67177830,20/04/2021 11:15,0,1,5,470
67162013,19/04/2021 12:27,0,0,5,198
67160825,19/04/2021 11:08,0,0,0,108
67151537,18/04/2021 17:32,0,1,2,446
67142966,17/04/2021 21:09,0,0,2,38
67132569,16/04/2021 21:47,1,3,0,218
67126806,16/04/2021 14:12,0,1,0,148
67111330,15/04/2021 15:25,2,0,0,875
67087185,14/04/2021 7:21,1,0,0,147
67079955,13/04/2021 17:49,0,1,0,125
67070645,13/04/2021 7:43,1,0,0,148
67056917,12/04/2021 10:38,1,4,0,1188
67035924,10/04/2021 15:11,1,0,0,82
67029919,10/04/2021 1:07,3,2,1,926
67020654,09/04/2021 11:54,1,0,0,323
67015126,09/04/2021 4:37,2,1,0,208
67010207,08/04/2021 18:55,0,0,1,56
67001655,08/04/2021 10:01,2,0,0,170
66989057,07/04/2021 15:16,1,0,0,195
66985592,07/04/2021 11:57,0,1,2,496
66984985,07/04/2021 11:16,0,0,0,270
66984417,07/04/2021 10:42,2,1,0,2710
66960002,05/04/2021 21:28,0,0,0,28
66956988,05/04/2021 17:19,1,-2,2,124
66955404,05/04/2021 15:24,1,0,0,54
66949174,05/04/2021 6:42,1,0,0,303
66948757,05/04/2021 5:47,0,1,0,179
66948054,05/04/2021 3:54,0,0,1,139
66936132,03/04/2021 21:42,1,1,0,56
66934692,03/04/2021 18:41,1,0,0,14
66931485,03/04/2021 13:05,1,-2,0,103
66921898,02/04/2021 15:52,2,0,0,63
66907236,01/04/2021 15:18,2,0,0,72
66899716,01/04/2021 6:53,0,0,0,195
66891329,31/03/2021 16:05,1,0,0,271
66889892,31/03/2021 14:34,0,0,2,13
66889182,31/03/2021 13:50,0,0,0,35
66886539,31/03/2021 11:01,1,1,0,263
66885986,31/03/2021 10:27,1,1,0,132
66882475,31/03/2021 6:03,0,0,2,21
66871904,30/03/2021 13:30,0,0,0,238
66861707,29/03/2021 21:10,1,0,0,70
66858826,29/03/2021 17:28,1,3,0,1218
66856970,29/03/2021 15:25,2,1,0,523
66830352,27/03/2021 10:36,1,0,1,34
66804432,25/03/2021 17:13,0,0,0,178
66778654,24/03/2021 9:59,1,0,0,154
66771816,23/03/2021 21:49,1,0,3,202
66766926,23/03/2021 16:07,0,0,2,41
66761442,23/03/2021 10:33,0,0,0,27
66748883,22/03/2021 15:15,0,0,0,97
66748001,22/03/2021 14:25,0,0,0,32
66733660,21/03/2021 14:39,2,2,0,444
66724798,20/03/2021 17:58,0,0,0,39
66709612,19/03/2021 14:02,0,0,0,99
66708140,19/03/2021 12:25,0,0,0,121
66683578,18/03/2021 1:35,1,0,0,83
66672237,17/03/2021 11:32,1,0,3,179
66671096,17/03/2021 10:22,1,1,0,284
66668143,17/03/2021 6:43,1,0,0,363
66659880,16/03/2021 17:00,0,1,1,70
66645869,15/03/2021 21:23,1,0,0,506
66644390,15/03/2021 19:22,0,0,0,32
66636892,15/03/2021 11:12,2,1,0,250
66631351,15/03/2021 1:41,0,0,0,86
66615113,13/03/2021 15:18,1,6,0,500
66599516,12/03/2021 11:59,2,0,0,177
66594244,12/03/2021 4:35,1,0,0,113
66591221,11/03/2021 22:03,1,0,2,55
66589899,11/03/2021 20:14,0,0,2,54
66579222,11/03/2021 8:57,0,0,1,202
66577557,11/03/2021 6:37,0,1,0,125
66575572,11/03/2021 2:17,0,0,0,44
66574059,10/03/2021 22:53,2,1,3,315
66565045,10/03/2021 12:43,0,0,1,63
66560018,10/03/2021 7:18,2,1,9,95
66546479,09/03/2021 11:59,1,0,0,105
66545286,09/03/2021 10:39,0,0,3,194
66543371,09/03/2021 8:34,1,0,1,158
66539916,09/03/2021 2:23,1,0,0,308
66539575,09/03/2021 1:35,0,1,0,112
66536091,08/03/2021 19:39,0,1,0,349
66532420,08/03/2021 15:20,1,0,0,144
66531930,08/03/2021 14:48,1,1,0,1042
66527654,08/03/2021 9:54,0,0,1,73
66517562,07/03/2021 14:25,1,1,1,306
66516470,07/03/2021 12:21,0,0,0,267
66494307,05/03/2021 14:27,1,1,0,705
66492235,05/03/2021 12:01,1,0,0,251
66486123,05/03/2021 2:58,1,0,0,119
66480501,04/03/2021 17:56,1,0,1,504
66477737,04/03/2021 15:05,0,0,0,88
66473443,04/03/2021 10:45,1,1,0,1097
66472167,04/03/2021 9:28,1,2,0,161
66446407,02/03/2021 20:09,0,0,1,99
66423813,01/03/2021 14:22,0,0,0,81
66414589,28/02/2021 22:41,0,1,0,432
66406462,28/02/2021 6:34,1,1,0,548
66402327,27/02/2021 18:52,1,0,0,374
66398372,27/02/2021 11:31,1,0,0,476
66387737,26/02/2021 14:36,0,1,0,107
66379732,26/02/2021 3:31,0,0,0,21
66365442,25/02/2021 9:06,0,0,3,655
66357600,24/02/2021 19:26,1,0,0,209
66354315,24/02/2021 15:52,0,0,0,33
66352738,24/02/2021 14:20,0,0,0,41
66339886,23/02/2021 19:36,0,2,1,79
66338262,23/02/2021 17:39,2,0,1,651
66334817,23/02/2021 14:12,1,1,1,313
66333883,23/02/2021 13:17,2,0,0,390
66332370,23/02/2021 11:35,1,0,2,55
66314869,22/02/2021 11:30,1,0,9,629
66305054,21/02/2021 17:26,1,0,2,347
66303384,21/02/2021 14:33,1,1,1,659
66303150,21/02/2021 14:08,0,0,4,575
66299733,21/02/2021 6:25,0,1,3,344
66295909,20/02/2021 19:50,1,1,4,532
66280474,19/02/2021 15:32,1,0,0,51
66271813,19/02/2021 4:30,1,0,0,178
66261112,18/02/2021 13:38,1,0,0,36
66257037,18/02/2021 9:25,0,1,2,366
66255692,18/02/2021 7:51,1,0,3,571
66254855,18/02/2021 6:39,1,0,0,204
66253695,18/02/2021 4:36,0,0,1,19
66247969,17/02/2021 18:34,1,1,0,151
66247483,17/02/2021 17:59,0,1,0,61
66245326,17/02/2021 15:46,0,1,0,258
66244147,17/02/2021 14:39,1,0,0,696
66240719,17/02/2021 11:07,0,0,0,68
66223783,16/02/2021 11:47,0,1,0,135
66221182,16/02/2021 8:47,0,0,0,25
66217758,16/02/2021 1:57,1,0,0,431
66215979,15/02/2021 22:03,0,0,0,40
66211287,15/02/2021 16:00,1,0,1,760
66210488,15/02/2021 15:08,0,0,0,60
66210390,15/02/2021 15:02,1,1,0,242
66207753,15/02/2021 12:07,1,0,0,136
66202326,15/02/2021 3:21,0,0,0,57
66201692,15/02/2021 1:15,0,1,1,66
66182243,13/02/2021 6:00,1,2,3,138
66180042,12/02/2021 22:51,1,2,0,278
66169437,12/02/2021 9:40,0,0,1,902
66166063,12/02/2021 3:43,1,0,0,186
66159545,11/02/2021 17:17,0,0,0,220
66147124,11/02/2021 0:27,0,0,0,59
66142099,10/02/2021 17:38,1,3,0,193
66140958,10/02/2021 16:32,1,0,0,225
66131622,10/02/2021 5:57,3,5,0,8253
66130146,10/02/2021 2:34,0,0,0,80
66128915,09/02/2021 23:41,1,1,0,334
66118378,09/02/2021 11:47,1,2,0,118
66116991,09/02/2021 10:18,0,1,1,108
66113732,09/02/2021 5:57,0,1,0,124
66099642,08/02/2021 10:15,0,0,0,11
66093337,07/02/2021 21:33,1,0,0,642
66073145,06/02/2021 2:56,1,0,0,313
66061988,05/02/2021 10:55,0,0,2,177
66055124,04/02/2021 22:59,1,0,0,1020
66045481,04/02/2021 12:18,0,0,0,25
66039439,04/02/2021 4:38,1,1,0,52
66038828,04/02/2021 3:06,1,0,0,630
66023802,03/02/2021 8:33,0,0,0,29
66018722,02/02/2021 22:48,0,0,0,30
65984782,31/01/2021 22:09,0,0,0,24
65982006,31/01/2021 17:15,0,0,0,107
65976615,31/01/2021 7:11,0,0,0,107
65973564,30/01/2021 22:00,1,1,0,988
65972247,30/01/2021 19:27,0,0,0,23
65969710,30/01/2021 15:24,0,0,0,42
65966229,30/01/2021 8:56,0,0,0,84
65964046,30/01/2021 2:27,0,0,1,26
65957316,29/01/2021 15:30,1,0,0,412
65950471,29/01/2021 7:40,2,-1,0,747
65935135,28/01/2021 10:21,2,5,1,2969
65933130,28/01/2021 8:02,1,1,4,204
65923237,27/01/2021 16:25,0,0,0,354
65915889,27/01/2021 9:04,0,0,0,37
65898586,26/01/2021 9:14,0,3,0,150
65882628,25/01/2021 10:07,0,1,1,31
65874866,24/01/2021 19:19,0,0,0,24
65873730,24/01/2021 17:25,0,0,0,110
65860334,23/01/2021 14:27,0,0,0,79
65858698,23/01/2021 11:32,1,1,0,642
65846609,22/01/2021 14:01,2,0,0,1189
65826252,21/01/2021 11:17,1,1,2,1315
65807590,20/01/2021 10:23,1,0,0,243
65802810,20/01/2021 3:45,2,1,1,474
65802643,20/01/2021 3:25,1,2,0,113
65802116,20/01/2021 2:07,1,0,7,87
65785892,19/01/2021 5:24,0,0,5,50
65775879,18/01/2021 13:57,0,3,0,168
65771622,18/01/2021 9:14,2,0,5,656
65735634,15/01/2021 11:53,1,1,0,113
65734244,15/01/2021 10:17,1,0,0,146
65720643,14/01/2021 14:14,1,-1,0,183
65715215,14/01/2021 7:53,2,0,0,1087
65706859,13/01/2021 17:27,0,0,1,25
65682574,12/01/2021 10:57,3,5,1,1075
65669841,11/01/2021 15:34,0,0,0,117
65667766,11/01/2021 13:28,1,0,0,92
65666545,11/01/2021 12:04,1,0,0,700
65664843,11/01/2021 10:10,2,3,2,588
65654223,10/01/2021 14:14,1,1,0,873
65652418,10/01/2021 10:50,1,2,0,468
65645855,09/01/2021 17:59,0,1,0,64
65645205,09/01/2021 16:55,1,3,10,1380
65630344,08/01/2021 13:57,0,1,0,91
65630106,08/01/2021 13:42,0,0,5,70
65627851,08/01/2021 11:06,0,0,1,102
65620071,07/01/2021 21:17,1,-1,0,163
65598234,06/01/2021 15:04,1,1,2,128
65581745,05/01/2021 15:25,1,1,0,69
65579525,05/01/2021 13:07,0,0,0,33
65550479,03/01/2021 13:41,0,0,0,35